'a	Q a
'abin	Q a b i n
'abincin	Q a b i n TS i n
'abokan	Q a b o k a n
'abokin	Q a b o k i n
'abu	Q a b u
'abubuwan	Q a b u b u w a n
'adam	Q a d a m
'adan	Q a d a n
'adua	Q a d u a
'afirka	Q a F i r k a
'africa	Q a p i r k a
'after	Q a p t e r
'agence	Q a g e n TS e
'aiki	Q a i k i
'aikin	Q a i k i n
'akwai	Q a k w aI j
'al	Q a l
'alal	Q a l a l
'allah	Q a l l a h
'almara	Q a l m a r a
'amfanin	Q a m F a n i n
'amincewa	Q a m i n TS e w a
'amma	Q a m m a
'an	Q a n
'ana	Q a n a
'annabi	Q a n n a b i
'ao	Q a o
'asiya	Q a s i j a
'assalamu	Q a s s a l a m u
'associated	Q a s s o TS i a t e d
'ayyukan	Q a j j u k a n
'ba	Q b a
'babban	Q b a b b a n
'babbar	Q b a b b a r
'babi	Q b a b i
'babu	Q b a b u
'bakan	Q b a k a n
'ban	Q b a n
'bangarori	Q b a n g a r o r i
'bangarorin	Q b a n g a r o r i n
'barcelona	Q b a r TS e l o n a
'batun	Q b a t u n
'baya	Q b aI j a
'bayan	Q b aI j a n
'beijing	Q b e i DZ i n g
'bian	Q b i a n
'bikin	Q b i k i n
'biranen	Q b i r a n e n
'birni	Q b i r n i
